"","participant.label",".Rsq","Intercept","flying.weight","diet.weight","electricity.weight","commute.weight","regional.weight","recycling.weight","gender","age","income","education","cc_concern.mean","total_co2","conservative_liberal.binary","conservative_liberal","policy.car.sub","policy.car.tax","policy.flying.sub","policy.flying.tax","policy.RE.sub","policy.RE.tax","policy.meat.tax","policy.meat.sub","policy.recycle.tax","policy.recycle.sub","policy.regional_food.sub","policy.regional_food.tax","policy.support.total","policy.car","policy.flying","policy.RE","policy.meat","policy.recycle","policy.regional_food","footprint.electricity","footprint.regional","footprint.recycling","footprint.diet","footprint.travel.car","footprint.travel.bus","footprint.travel.train","footprint.flying","footprint.public.transport"
"1","54232b4bfdf99b328c91b253",0.873823269360795,2.61206896551724,2.54741379310345,0.547413793103448,1.20258620689655,-0.0474137931034486,0.452586206896552,0.620689655172413,"Male",38,"30.501£ to 45.000£","Higher education (Bachelor, Master, PhD)",5,7.4,"left-leaning",3,6,3,5,4,7,4,6,6,6,7,6,4,5.33333333333333,4.5,4.5,5.5,6,6.5,5,1.294697,-0.22,-0.0575,1.431,3.27168,0.6201,1.0944,0.36,0.85725
"2","542926d2fdf99b0b7ac2904e",0.837920595706183,3.27586206896552,0.530172413793103,1.2801724137931,-1.0301724137931,-0.280172413793103,0.969827586206896,2.75862068965517,"Female",51,"< 18.000£","Further education",3.25,4.6,"left-leaning",5,6,2,5,3,5,2,1,6,1,6,6,2,3.75,4,4,3.5,3.5,3.5,4,1.294697,0,-0.0575,2.282,1.0872,0,0,0,0
"3","547272b4fdf99b44c5647418",0.959605397926363,0.629310344827583,4.77586206896552,1.52586206896552,1.22413793103448,0.474137931034483,0.724137931034483,0.793103448275863,"Male",59,"< 18.000£","Higher education (Bachelor, Master, PhD)",5.75,2.1,"left-leaning",3,7,6,5,7,5,3,5,3,4,7,3,6,5.08333333333333,6.5,6,4,4,5.5,4.5,0.1031,-0.44,-0.0575,1.431,1.0872,0,0,0.36,0
"4","54aefa06fdf99b09c01b37f4",0.845689655172414,1.31034482758621,0.862068965517241,0.862068965517241,1.13793103448276,-0.112068965517241,0.387931034482759,1.10344827586207,"Female",50,"23.001£ to 30.500£","Higher education (Bachelor, Master, PhD)",6,3.3,"left-leaning",3,7,5,7,7,7,4,7,7,7,7,7,7,6.58333333333333,6,7,5.5,7,7,7,0.1031,-0.11,-0.0575,2.282,1.0872,0,0,0,0
"5","559d96aefdf99b1e448268e5",0.610100461580234,1.75862068965517,0.301724137931034,0.801724137931035,0.448275862068966,0.698275862068966,1.19827586206897,1.58620689655172,"Female",42,"> 45.001£","Higher education (Bachelor, Master, PhD)",5,5.3,"left-leaning",3,7,5,7,6,7,4,4,6,4,7,5,4,5.5,6,6.5,5.5,5,5.5,4.5,0.6988837,-0.22,-0.0575,2.282,0.2726,0,0.2909,2.07,0.14545
"6","55d09e4934e9060005e5729a",0.880599094392198,0.534482758620689,1.83189655172414,1.58189655172414,0.418103448275862,0.668103448275863,-0.0818965517241382,0.344827586206896,"Male",28,"< 18.000£","Further education",4.5,4.2,"right-leaning",6,7,2,7,5,3,1,4,2,1,7,7,6,4.33333333333333,4.5,6,2,3,4,6.5,1.294697,-0.44,-0.0575,3.16,0.2726,0,0,0,0
"7","560925acd7def20005b7362a",0.744224974891195,2.81034482758621,1.61206896551724,0.612068965517241,0.387931034482759,0.137931034482758,0.137931034482759,1.10344827586207,"Male",55,"23.001£ to 30.500£","Higher education (Bachelor, Master, PhD)",4.75,5.9,"left-leaning",4,7,3,6,4,5,3,2,5,3,5,5,5,4.41666666666667,5,5,4,3.5,4,5,1.294697,-0.22,-0.0575,1.431,3.27168,0.1555,0.0729,0.36,0.1142
"8","56296779c8ffc200055134c9",0.801602719766877,2.3448275862069,1.69396551724138,-0.0560344827586211,0.556034482758621,0.0560344827586207,-0.193965517241379,0.448275862068965,"Male",49,"23.001£ to 30.500£","Higher education (Bachelor, Master, PhD)",1.75,4.2,"left-leaning",5,4,1,1,7,4,1,1,6,4,4,6,3,3.5,2.5,4,2.5,3.5,4,4.5,0.1031,-0.22,0,2.282,2.0414,0,0,0,0
"9","5655ac37d970d100058322c3",0.517241379310345,3.91379310344828,-0.0172413793103449,0.482758620689655,0.0172413793103448,-0.482758620689655,0.0172413793103449,0.137931034482759,"Male",32,"18.000£ to 23.000£","Higher education (Bachelor, Master, PhD)",4.75,3.1,"left-leaning",5,5,3,5,4,7,2,2,6,6,7,6,3,4.66666666666667,4,4.5,4.5,4,6.5,4.5,0.6988837,-0.33,-0.0575,2.282,0.2726,0.1555,0.0729,0.36,0.1142
"10","566e1aec744e3e0005b4e668",0.981133778660408,1.93103448275862,2.46120689655172,2.21120689655172,0.0387931034482755,0.538793103448276,0.288793103448276,0.310344827586207,"Male",43,"< 18.000£","Further education",3.75,3.5,"left-leaning",5,5,4,5,4,5,4,4,5,4,5,5,4,4.5,4.5,4.5,4.5,4.5,4.5,4.5,1.294697,-0.33,-0.0575,2.282,0.2726,0,0,0,0
"11","56a80408c89737000b22bd37",0.912869458128079,0.258620689655173,2.55172413793103,0.0517241379310344,1.69827586206897,0.448275862068966,0.948275862068966,1.58620689655172,"Male",48,"> 45.001£","Higher education (Bachelor, Master, PhD)",1.5,3.1,"right-leaning",6,6,1,3,2,2,1,1,1,1,6,5,2,2.58333333333333,3.5,2.5,1.5,1,3.5,3.5,0.6988837,-0.33,-0.0575,2.282,0.2726,0.1555,0.0729,0,0.1142
"12","56d33245321cae000b68d9e4",0.549909255898367,3.36206896551724,-0.827586206896552,1.67241379310345,0.577586206896551,1.07758620689655,0.0775862068965515,0.620689655172413,"Male",66,"23.001£ to 30.500£","Further education",4.25,4.8,"right-leaning",10,3,1,2,1,5,6,1,6,1,5,6,7,3.66666666666667,2,1.5,5.5,3.5,3,6.5,1.294697,-0.22,0,2.282,0.2726,0.1555,0.0729,0.9,0.1142
"13","571a57e56a1c6300124bb6bd",0.86195246971109,1.95689655172414,1.86637931034483,1.36637931034483,0.383620689655173,-0.116379310344828,0.883620689655172,1.06896551724138,"Female",64,"< 18.000£","Compulsory education",6,3.7,"right-leaning",7,6,3,5,7,5,2,3,4,5,7,5,6,4.83333333333333,4.5,6,3.5,3.5,6,5.5,1.294697,-0.33,-0.0575,2.282,0.2726,0.1555,0.0729,0,0.1142
"14","571a861d838a4e0013b1860a",0.58341477034762,1.91379310344828,0.482758620689655,-0.0172413793103449,0.767241379310345,0.517241379310345,0.517241379310345,1.13793103448276,"Male",51,"30.501£ to 45.000£","Further education",2.25,6,"left-leaning",2,7,1,4,2,7,1,1,4,1,1,7,1,3.08333333333333,4,3,4,2.5,1,4,0.6988837,-0.11,0,2.282,1.0872,0,0,2.07,0
"15","576fc3462984e70001a97fc3",0.946553798912818,1.06896551724138,2.41379310344828,1.41379310344828,0.586206896551724,0.336206896551724,0.336206896551724,1.68965517241379,"Male",32,"18.000£ to 23.000£","Higher education (Bachelor, Master, PhD)",6,3.4,"left-leaning",4,7,6,5,2,7,4,5,7,5,7,7,4,5.5,6.5,3.5,5.5,6,6,5.5,0.1031,-0.22,-0.0575,1.053,0.2726,0.1555,0,2.07,0.07775
"16","577e3a5025cb71000128727e",0.595617144698679,2.3448275862069,0.693965517241379,0.94396551724138,0.556034482758621,-0.19396551724138,1.05603448275862,1.44827586206897,"Female",63,"< 18.000£","Further education",5.25,2.5,"left-leaning",5,7,3,6,7,5,1,6,6,7,5,7,4,5.33333333333333,5,6.5,3,6,6,5.5,0.1031,-0.22,-0.0575,1.431,1.0872,0.1555,0,0,0.07775
"17","577f91b84d107800016d9e69",0.841748768472906,1.87068965517241,3.09913793103448,0.599137931034483,0.900862068965517,0.150862068965517,0.650862068965518,1.20689655172414,"Male",70,"23.001£ to 30.500£","Further education",4.75,3.2,"right-leaning",6,6,4,5,5,6,6,4,5,6,6,6,7,5.5,5,5,6,4.5,6,6.5,0.6988837,-0.22,-0.0575,2.282,0.2726,0.1555,0.0729,0,0.1142
"18","58a085f6f6cc2100012af56e",0.908045977011494,1.77586206896552,2.4051724137931,2.4051724137931,0.844827586206896,0.0948275862068967,1.5948275862069,0.758620689655172,"Male",46,"23.001£ to 30.500£","Higher education (Bachelor, Master, PhD)",5,3.1,"left-leaning",3,7,7,7,7,6,5,5,2,6,7,6,5,5.83333333333333,7,7,5.5,3.5,6.5,5.5,0.6988837,-0.22,-0.0575,2.282,0,0.1555,0.2909,0,0.2232
"19","5918a03738cc6d0001a4bde7",0.62224293258776,3.60344827586207,0.120689655172414,-0.379310344827586,0.379310344827587,-0.120689655172414,0.879310344827586,0.0344827586206898,"Male",37,"> 45.001£","Higher education (Bachelor, Master, PhD)",1,2.3,"right-leaning",8,5,1,1,1,1,1,1,1,1,6,5,2,2.16666666666667,3,1,1,1,3.5,3.5,0.1031,-0.44,-0.0575,2.282,0.2726,0.1555,0,0,0.07775
"20","594a8e2eeaa18e000163f6cd",0.715182818073722,5.27586206896552,3.03017241379311,-3.2198275862069,0.719827586206897,-0.0301724137931038,-0.780172413793103,-0.241379310344827,"Female",46,"< 18.000£","Higher education (Bachelor, Master, PhD)",1,3.7,"right-leaning",9,6,1,1,1,1,1,1,1,1,5,5,1,2.08333333333333,3.5,1,1,1,3,3,1.294697,-0.33,0,2.282,0.2726,0.1555,0.0729,0.36,0.1142
"21","596e6e5cd7919800014b49b8",0.879852526566905,2.56896551724138,2.66379310344828,0.663793103448276,0.336206896551724,0.336206896551724,-0.163793103448276,0.689655172413793,"Male",48,"30.501£ to 45.000£","Compulsory education",3,3.9,"left-leaning",3,7,1,5,4,4,2,1,5,3,7,5,4,4,4,4.5,3,3,5,4.5,0.6988837,-0.33,-0.0575,2.282,1.0872,0.1555,0.0729,0,0.1142
"22","597b652912b52100010ca9b2",0.867670691950962,2.5603448275862,1.98706896551724,0.987068965517241,1.51293103448276,-0.237068965517241,1.26293103448276,1.10344827586207,"Female",23,"30.501£ to 45.000£","Higher education (Bachelor, Master, PhD)",6,3.3,"left-leaning",3,7,5,5,5,7,4,4,6,6,7,7,5,5.66666666666667,6,5,5.5,5,6.5,6,1.294697,-0.33,-0.0575,2.282,0,0.1555,0,0.36,0.07775
"23","597c6cdf21db3a0001418541",0.781002750158663,0.801724137931035,1.31034482758621,0.0603448275862073,0.689655172413794,0.189655172413793,1.43965517241379,2.51724137931034,"Male",66,"23.001£ to 30.500£","Further education",3.25,3.9,"right-leaning",7,6,1,1,1,7,1,1,5,1,4,4,1,2.75,3.5,1,4,3,2.5,2.5,1.294697,0,-0.0575,2.282,0.2726,0,0.0729,0,0.03645
"24","59839cb9554956000142d95f",0.8057672917927,2.75862068965517,2.55172413793104,1.55172413793103,0.698275862068965,-0.301724137931035,0.698275862068966,0.586206896551724,"Female",52,"< 18.000£","Compulsory education",6,1.4,"left-leaning",3,5,5,6,7,6,1,7,1,3,7,6,6,5,5,6.5,3.5,4,5,6,0.6988837,-0.33,-0.0575,1.053,0,0,0,0,0
"25","59a9c0291b7a550001d6392e",0.839439655172414,2.30172413793103,1.93534482758621,1.43534482758621,0.314655172413793,0.0646551724137929,1.06465517241379,0.517241379310345,"Female",41,"< 18.000£","Higher education (Bachelor, Master, PhD)",3.75,5.5,"left-leaning",3,7,1,3,1,7,3,3,4,4,7,7,5,4.33333333333333,4,2,5,3.5,5.5,6,0.6988837,-0.33,-0.0575,2.282,2.0414,0,0,0.9,0
"26","59b193aff69f3400018671ba",0.817789968652038,2.75862068965517,1.17672413793104,0.426724137931035,0.323275862068965,0.0732758620689655,0.323275862068966,0.586206896551724,"Male",54,"< 18.000£","Further education",3,1.2,"right-leaning",8,7,7,6,7,6,5,4,5,7,7,5,6,6,7,6.5,5.5,4.5,7,5.5,0.1031,-0.11,-0.0575,1.053,0,0.1555,0.0729,0,0.1142
