"","participant.label","(Intercept)","flying.weight","diet.weight","electricity.weight","commute.weight","regional.weight","recycling.weight","gender","age","income","education","cc_concern.mean","total_co2","conservative_liberal.binary","conservative_liberal","policy.car","policy.flying","policy.recycle","policy.RE","policy.meat","policy.regional_food","footprint.electricity","footprint.regional","footprint.recycling","footprint.diet","footprint.travel.car","footprint.travel.bus","footprint.travel.train","footprint.flying","footprint.public.transport"
"1","54232b4bfdf99b328c91b253",2.52307717847703,2.22833130845227,0.641223275604683,0.858778161518184,0.301595741880673,0.582085202437872,0.797201575934745,"Male",38,"30.501£ to 45.000£","Higher education (Bachelor, Master, PhD)",5,7.4,"left-leaning",3,4.5,4.5,6.5,5.5,6,5,1.294697,-0.22,-0.0575,1.431,3.27168,0.6201,1.0944,0.36,0.85725
"2","542926d2fdf99b0b7ac2904e",2.86471938532723,0.736371108831274,1.48448498753293,0.0721024731481518,0.372098454723094,0.818699736712538,1.58291684842877,"Female",51,"< 18.000£","Further education",3.25,4.6,"left-leaning",5,4,4,3.5,3.5,3.5,4,1.294697,0,-0.0575,2.282,1.0872,0,0,0,0
"3","547272b4fdf99b44c5647418",1.02769359019715,3.87842989812861,1.36895846635237,1.10461605146643,0.377441077247704,0.867582171116693,1.08911309265155,"Male",59,"< 18.000£","Higher education (Bachelor, Master, PhD)",5.75,2.1,"left-leaning",3,6.5,6,5.5,4,4,4.5,0.1031,-0.44,-0.0575,1.431,1.0872,0,0,0.36,0
"4","54aefa06fdf99b09c01b37f4",1.40898719656543,0.94725810204063,0.793119328084327,0.721110134284697,0.18956918186752,0.582248556680341,0.970526009554445,"Female",50,"23.001£ to 30.500£","Higher education (Bachelor, Master, PhD)",6,3.3,"left-leaning",3,6,7,7,5.5,7,7,0.1031,-0.11,-0.0575,2.282,1.0872,0,0,0,0
"5","559d96aefdf99b1e448268e5",2.06074181942446,0.514980477798164,0.925404339962754,0.604871465395042,0.496760342463506,0.724832372202553,1.27072160681169,"Female",42,"> 45.001£","Higher education (Bachelor, Master, PhD)",5,5.3,"left-leaning",3,6,6.5,5.5,5.5,5,4.5,0.6988837,-0.22,-0.0575,2.282,0.2726,0,0.2909,2.07,0.14545
"6","55d09e4934e9060005e5729a",0.803746953646365,1.51553501927381,1.13497328126829,0.506175441398546,0.146996503085721,0.455567638184844,0.708614823908083,"Male",28,"< 18.000£","Further education",4.5,4.2,"right-leaning",6,4.5,6,4,2,3,6.5,1.294697,-0.44,-0.0575,3.16,0.2726,0,0,0,0
"7","560925acd7def20005b7362a",2.61548120245295,1.47674900829266,0.716201254105603,0.510769245882295,0.287898121381957,0.52110836605332,0.877621848086722,"Male",55,"23.001£ to 30.500£","Higher education (Bachelor, Master, PhD)",4.75,5.9,"left-leaning",4,5,5,4,4,3.5,5,1.294697,-0.22,-0.0575,1.431,3.27168,0.1555,0.0729,0.36,0.1142
"8","56296779c8ffc200055134c9",2.17680049502105,1.44132555718153,0.165802126889642,0.536593602215596,0.0850622810863615,0.252361903857121,0.494846443889431,"Male",49,"23.001£ to 30.500£","Higher education (Bachelor, Master, PhD)",1.75,4.2,"left-leaning",5,2.5,4,4,2.5,3.5,4.5,0.1031,-0.22,0,2.282,2.0414,0,0,0,0
"9","5655ac37d970d100058322c3",3.30046448377663,0.192990250044484,0.431358074158666,0.154318680056161,0.0413146320073816,0.171135705430089,0.394076384750292,"Male",32,"18.000£ to 23.000£","Higher education (Bachelor, Master, PhD)",4.75,3.1,"left-leaning",5,4,4.5,6.5,4.5,4,4.5,0.6988837,-0.33,-0.0575,2.282,0.2726,0.1555,0.0729,0.36,0.1142
"10","566e1aec744e3e0005b4e668",1.93085036499792,2.05834007277527,1.62398353088118,0.416807803041546,0.297391576109578,0.611243224807633,0.818916727053876,"Male",43,"< 18.000£","Further education",3.75,3.5,"left-leaning",5,4.5,4.5,4.5,4.5,4.5,4.5,1.294697,-0.33,-0.0575,2.282,0.2726,0,0,0,0
