"","participant.id_in_session","participant.code","participant.label","participant._current_page_name","participant.time_started_utc","age","gender","education","income","dataScience","dataTeach","1.player.rating0","1.player.vignetteNumber","1.player.order_behavior_types","2.player.rating0","2.player.vignetteNumber","2.player.order_behavior_types","3.player.rating0","3.player.vignetteNumber","3.player.order_behavior_types","4.player.rating0","4.player.vignetteNumber","4.player.order_behavior_types","5.player.rating0","5.player.vignetteNumber","5.player.order_behavior_types","6.player.rating0","6.player.vignetteNumber","6.player.order_behavior_types","7.player.rating0","7.player.vignetteNumber","7.player.order_behavior_types","8.player.rating0","8.player.vignetteNumber","8.player.order_behavior_types","9.player.rating0","9.player.vignetteNumber","9.player.order_behavior_types","10.player.rating0","10.player.vignetteNumber","10.player.order_behavior_types","11.player.rating0","11.player.vignetteNumber","11.player.order_behavior_types","12.player.rating0","12.player.vignetteNumber","12.player.order_behavior_types","13.player.rating0","13.player.vignetteNumber","13.player.order_behavior_types","14.player.rating0","14.player.vignetteNumber","14.player.order_behavior_types","15.player.rating0","15.player.vignetteNumber","15.player.order_behavior_types","16.player.rating0","16.player.vignetteNumber","16.player.order_behavior_types","footprint.regional","footprint.recycling","footprint.diet","footprint.travel.car","footprint.travel.bus","footprint.travel.train","footprint.flying","footprint.electricity","total_co2","conservative_liberal","age_year","climate_change_concern1","climate_change_concern2","climate_change_concern3","climate_change_concern4","policy_item1","policy_item2","policy_item3","policy_item4","policy_item5","policy_item6","policy_item7","policy_item8","policy_item9","policy_item10","policy_item11","policy_item12","cc_concern.mean","conservative_liberal.binary","policy.support.total","policy.car","policy.flying","policy.RE","policy.meat","policy.recycle","policy.regional_food","policies.subsidies","policies.taxes"
"1",1,"4zhc9wmp","5d8b8137604bb000150db6d9","end","2023-10-27 15:36:55.608003",19,"Male","Compulsory education","18.000£ to 23.000£",1,1,7,3,"['Diet', 'Food', 'Electricity', 'Recycling', 'Vacation', 'Commute']",7,11,"['Electricity', 'Diet', 'Recycling', 'Food', 'Commute', 'Vacation']",3,0,"['Food', 'Commute', 'Diet', 'Vacation', 'Electricity', 'Recycling']",6,2,"['Diet', 'Recycling', 'Vacation', 'Commute', 'Food', 'Electricity']",8,15,"['Diet', 'Vacation', 'Recycling', 'Electricity', 'Food', 'Commute']",6,8,"['Vacation', 'Recycling', 'Food', 'Electricity', 'Commute', 'Diet']",6,7,"['Electricity', 'Food', 'Commute', 'Diet', 'Vacation', 'Recycling']",7,14,"['Vacation', 'Commute', 'Diet', 'Food', 'Electricity', 'Recycling']",7,1,"['Commute', 'Vacation', 'Diet', 'Recycling', 'Food', 'Electricity']",6,12,"['Recycling', 'Electricity', 'Commute', 'Diet', 'Vacation', 'Food']",7,10,"['Vacation', 'Recycling', 'Electricity', 'Food', 'Diet', 'Commute']",7,6,"['Commute', 'Electricity', 'Recycling', 'Vacation', 'Food', 'Diet']",7,4,"['Commute', 'Electricity', 'Food', 'Recycling', 'Diet', 'Vacation']",7,5,"['Food', 'Recycling', 'Vacation', 'Diet', 'Electricity', 'Commute']",6,13,"['Electricity', 'Diet', 'Vacation', 'Commute', 'Food', 'Recycling']",4,9,"['Commute', 'Recycling', 'Electricity', 'Vacation', 'Food', 'Diet']",-0.22,-0.0575,2.282,0.2726,0,0,0,1.294697,3.6,6,2003,3,4,4,4,3,1,3,2,5,1,1,4,1,4,4,1,3.75,"right-leaning",2.5,2,2.5,3,2.5,2.5,2.5,3.83333333333333,1.16666666666667
"2",2,"ntvdvuie","5d1bd8a7601cd70001728db6","end","2023-10-27 15:39:07.654317",48,"Female","Further education","23.001£ to 30.500£",1,1,7,8,"['Recycling', 'Commute', 'Diet', 'Electricity', 'Food', 'Vacation']",7,7,"['Commute', 'Diet', 'Vacation', 'Recycling', 'Food', 'Electricity']",9,14,"['Commute', 'Vacation', 'Electricity', 'Food', 'Diet', 'Recycling']",6,11,"['Vacation', 'Electricity', 'Commute', 'Recycling', 'Diet', 'Food']",5,2,"['Electricity', 'Vacation', 'Recycling', 'Food', 'Commute', 'Diet']",5,3,"['Recycling', 'Diet', 'Commute', 'Electricity', 'Food', 'Vacation']",8,5,"['Diet', 'Electricity', 'Food', 'Vacation', 'Commute', 'Recycling']",4,10,"['Food', 'Electricity', 'Vacation', 'Diet', 'Commute', 'Recycling']",8,15,"['Electricity', 'Commute', 'Food', 'Vacation', 'Diet', 'Recycling']",7,6,"['Commute', 'Recycling', 'Diet', 'Food', 'Vacation', 'Electricity']",8,9,"['Food', 'Diet', 'Vacation', 'Electricity', 'Recycling', 'Commute']",7,13,"['Recycling', 'Electricity', 'Commute', 'Food', 'Vacation', 'Diet']",3,0,"['Electricity', 'Food', 'Vacation', 'Diet', 'Recycling', 'Commute']",5,4,"['Food', 'Commute', 'Electricity', 'Vacation', 'Recycling', 'Diet']",4,1,"['Electricity', 'Commute', 'Recycling', 'Diet', 'Food', 'Vacation']",6,12,"['Commute', 'Food', 'Vacation', 'Electricity', 'Recycling', 'Diet']",-0.22,-0.0575,2.282,0.2726,0,0,0,1.294697,3.6,4,1978,5,5,3,4,7,4,4,4,7,1,1,3,5,7,1,4,4.25,"left-leaning",4,5.5,4,4,2,6,2.5,4.83333333333333,3.16666666666667
"3",3,"ubwv3h2f","5ce046f0feca32001bf94033","end","2023-10-27 15:39:53.030982",36,"Female","Compulsory education","< 18.000£",1,1,6,3,"['Food', 'Vacation', 'Recycling', 'Commute', 'Diet', 'Electricity']",7,11,"['Vacation', 'Diet', 'Electricity', 'Recycling', 'Commute', 'Food']",7,8,"['Electricity', 'Food', 'Vacation', 'Recycling', 'Commute', 'Diet']",6,5,"['Recycling', 'Commute', 'Diet', 'Food', 'Electricity', 'Vacation']",5,1,"['Electricity', 'Diet', 'Vacation', 'Commute', 'Food', 'Recycling']",6,2,"['Recycling', 'Commute', 'Food', 'Diet', 'Vacation', 'Electricity']",6,12,"['Food', 'Diet', 'Recycling', 'Commute', 'Electricity', 'Vacation']",6,7,"['Vacation', 'Commute', 'Recycling', 'Electricity', 'Diet', 'Food']",4,0,"['Food', 'Commute', 'Vacation', 'Recycling', 'Electricity', 'Diet']",7,6,"['Electricity', 'Food', 'Diet', 'Commute', 'Recycling', 'Vacation']",6,4,"['Food', 'Electricity', 'Recycling', 'Commute', 'Diet', 'Vacation']",8,15,"['Food', 'Diet', 'Vacation', 'Electricity', 'Commute', 'Recycling']",7,13,"['Food', 'Recycling', 'Electricity', 'Diet', 'Vacation', 'Commute']",7,14,"['Electricity', 'Commute', 'Diet', 'Vacation', 'Food', 'Recycling']",6,9,"['Food', 'Recycling', 'Commute', 'Vacation', 'Diet', 'Electricity']",7,10,"['Food', 'Vacation', 'Commute', 'Electricity', 'Recycling', 'Diet']",-0.22,-0.0575,2.282,0.2726,0.1555,0.0729,0.36,1.294697,3.8,3,1986,6,6,6,6,7,5,5,5,6,2,3,3,4,7,5,4,6,"left-leaning",4.66666666666667,6,5,4,3,5.5,4.5,5.5,3.83333333333333
"4",4,"2i3pyshf","5b4ce12a1fa5830001016869","end","2023-10-27 15:40:21.775354",48,"Male","Further education","< 18.000£",1,1,5,7,"['Commute', 'Recycling', 'Electricity', 'Vacation', 'Food', 'Diet']",6,5,"['Commute', 'Recycling', 'Diet', 'Electricity', 'Vacation', 'Food']",4,13,"['Food', 'Electricity', 'Diet', 'Recycling', 'Vacation', 'Commute']",6,8,"['Commute', 'Recycling', 'Vacation', 'Electricity', 'Diet', 'Food']",6,15,"['Electricity', 'Diet', 'Recycling', 'Food', 'Vacation', 'Commute']",4,12,"['Diet', 'Commute', 'Vacation', 'Electricity', 'Food', 'Recycling']",4,1,"['Recycling', 'Electricity', 'Vacation', 'Diet', 'Food', 'Commute']",2,0,"['Electricity', 'Diet', 'Recycling', 'Food', 'Vacation', 'Commute']",5,2,"['Vacation', 'Recycling', 'Commute', 'Electricity', 'Food', 'Diet']",5,9,"['Commute', 'Recycling', 'Food', 'Electricity', 'Vacation', 'Diet']",6,14,"['Recycling', 'Commute', 'Food', 'Electricity', 'Vacation', 'Diet']",5,3,"['Recycling', 'Diet', 'Commute', 'Electricity', 'Food', 'Vacation']",4,6,"['Electricity', 'Vacation', 'Commute', 'Food', 'Diet', 'Recycling']",6,11,"['Electricity', 'Vacation', 'Diet', 'Food', 'Commute', 'Recycling']",3,4,"['Electricity', 'Food', 'Vacation', 'Diet', 'Recycling', 'Commute']",3,10,"['Diet', 'Vacation', 'Food', 'Recycling', 'Electricity', 'Commute']",-0.11,-0.0575,2.282,0.2726,0.1555,0.0729,0,1.294697,3.9,9,1975,2,2,2,2,5,1,5,1,5,1,1,3,1,7,3,1,2,"right-leaning",2.83333333333333,3,3,3,2,4,2,4.66666666666667,1
"5",5,"z8ozjw5l","566e1aec744e3e0005b4e668","end","2023-10-27 15:40:24.056465",43,"Male","Further education","< 18.000£",1,1,5,8,"['Commute', 'Electricity', 'Vacation', 'Recycling', 'Diet', 'Food']",7,14,"['Diet', 'Electricity', 'Vacation', 'Recycling', 'Commute', 'Food']",5,3,"['Vacation', 'Commute', 'Diet', 'Electricity', 'Recycling', 'Food']",5,10,"['Diet', 'Recycling', 'Electricity', 'Vacation', 'Food', 'Commute']",7,11,"['Recycling', 'Diet', 'Vacation', 'Electricity', 'Commute', 'Food']",3,6,"['Vacation', 'Diet', 'Recycling', 'Food', 'Electricity', 'Commute']",5,12,"['Commute', 'Diet', 'Vacation', 'Food', 'Recycling', 'Electricity']",8,15,"['Food', 'Diet', 'Commute', 'Electricity', 'Recycling', 'Vacation']",3,1,"['Commute', 'Diet', 'Recycling', 'Food', 'Vacation', 'Electricity']",2,0,"['Vacation', 'Food', 'Commute', 'Recycling', 'Diet', 'Electricity']",4,7,"['Electricity', 'Vacation', 'Diet', 'Food', 'Commute', 'Recycling']",5,13,"['Vacation', 'Food', 'Electricity', 'Diet', 'Recycling', 'Commute']",5,5,"['Food', 'Commute', 'Vacation', 'Recycling', 'Diet', 'Electricity']",5,2,"['Recycling', 'Diet', 'Food', 'Commute', 'Vacation', 'Electricity']",7,9,"['Recycling', 'Commute', 'Electricity', 'Diet', 'Food', 'Vacation']",2,4,"['Commute', 'Electricity', 'Food', 'Diet', 'Recycling', 'Vacation']",-0.33,-0.0575,2.282,0.2726,0,0,0,1.294697,3.5,5,1980,3,4,4,4,5,4,5,4,5,4,4,5,4,5,5,4,3.75,"left-leaning",4.5,4.5,4.5,4.5,4.5,4.5,4.5,5,4
"6",6,"inr1pg0x","5b03567dc573030001c36f1d","end","2023-10-27 15:40:46.230192",29,"Female","Higher education (Bachelor, Master, PhD)","< 18.000£",1,1,4,6,"['Vacation', 'Commute', 'Diet', 'Food', 'Recycling', 'Electricity']",2,0,"['Vacation', 'Commute', 'Electricity', 'Diet', 'Recycling', 'Food']",6,7,"['Commute', 'Diet', 'Electricity', 'Vacation', 'Food', 'Recycling']",6,8,"['Electricity', 'Vacation', 'Recycling', 'Commute', 'Food', 'Diet']",6,5,"['Recycling', 'Commute', 'Electricity', 'Diet', 'Vacation', 'Food']",7,3,"['Food', 'Commute', 'Electricity', 'Diet', 'Vacation', 'Recycling']",8,15,"['Recycling', 'Food', 'Commute', 'Electricity', 'Diet', 'Vacation']",5,13,"['Food', 'Recycling', 'Vacation', 'Electricity', 'Diet', 'Commute']",6,10,"['Food', 'Diet', 'Electricity', 'Recycling', 'Vacation', 'Commute']",7,14,"['Diet', 'Vacation', 'Commute', 'Food', 'Recycling', 'Electricity']",7,9,"['Electricity', 'Commute', 'Diet', 'Recycling', 'Food', 'Vacation']",7,2,"['Commute', 'Vacation', 'Food', 'Diet', 'Electricity', 'Recycling']",4,1,"['Vacation', 'Recycling', 'Electricity', 'Diet', 'Commute', 'Food']",5,4,"['Electricity', 'Food', 'Diet', 'Vacation', 'Recycling', 'Commute']",6,12,"['Food', 'Commute', 'Diet', 'Vacation', 'Recycling', 'Electricity']",8,11,"['Diet', 'Electricity', 'Commute', 'Food', 'Recycling', 'Vacation']",-0.22,-0.0575,0.955,0.2726,0.1555,0.2909,2.07,0.6988837,4.2,4,1994,6,6,6,6,7,7,5,4,7,4,7,7,6,7,7,6,6,"left-leaning",6.16666666666667,7,4.5,5.5,7,6.5,6.5,6.66666666666667,5.66666666666667
"7",7,"5b0oqzk6","5e9f0bc126557006ea49d1f4","end","2023-10-27 15:40:47.254199",69,"Male","Higher education (Bachelor, Master, PhD)","> 45.001£",1,1,2,2,"['Vacation', 'Recycling', 'Commute', 'Electricity', 'Food', 'Diet']",4,8,"['Recycling', 'Vacation', 'Commute', 'Food', 'Diet', 'Electricity']",6,0,"['Recycling', 'Diet', 'Vacation', 'Food', 'Commute', 'Electricity']",7,12,"['Recycling', 'Food', 'Commute', 'Vacation', 'Diet', 'Electricity']",2,1,"['Commute', 'Recycling', 'Food', 'Diet', 'Electricity', 'Vacation']",4,10,"['Diet', 'Electricity', 'Recycling', 'Vacation', 'Food', 'Commute']",3,11,"['Vacation', 'Recycling', 'Food', 'Commute', 'Diet', 'Electricity']",4,9,"['Diet', 'Food', 'Electricity', 'Vacation', 'Recycling', 'Commute']",5,4,"['Commute', 'Diet', 'Food', 'Recycling', 'Vacation', 'Electricity']",5,5,"['Electricity', 'Food', 'Diet', 'Commute', 'Vacation', 'Recycling']",4,15,"['Electricity', 'Commute', 'Vacation', 'Food', 'Recycling', 'Diet']",6,14,"['Food', 'Electricity', 'Commute', 'Diet', 'Vacation', 'Recycling']",5,6,"['Food', 'Vacation', 'Diet', 'Electricity', 'Commute', 'Recycling']",5,13,"['Recycling', 'Food', 'Diet', 'Vacation', 'Commute', 'Electricity']",3,7,"['Vacation', 'Food', 'Electricity', 'Diet', 'Recycling', 'Commute']",3,3,"['Commute', 'Diet', 'Electricity', 'Recycling', 'Food', 'Vacation']",-0.33,-0.0575,2.282,0.2726,0,0,0,0.1031,2.3,6,1953,2,2,1,2,4,2,3,2,5,1,1,1,1,5,4,1,1.75,"right-leaning",2.5,3,2.5,3,1,3,2.5,3.66666666666667,1.33333333333333
"8",8,"zpmz6k7e","60ea0498cfbeface04b33ed0","end","2023-10-27 15:40:58.619745",55,"Female","Further education","23.001£ to 30.500£",1,1,4,8,"['Vacation', 'Food', 'Commute', 'Diet', 'Electricity', 'Recycling']",3,1,"['Recycling', 'Electricity', 'Food', 'Diet', 'Vacation', 'Commute']",3,4,"['Vacation', 'Food', 'Recycling', 'Diet', 'Commute', 'Electricity']",6,9,"['Recycling', 'Diet', 'Food', 'Commute', 'Vacation', 'Electricity']",4,13,"['Vacation', 'Diet', 'Commute', 'Recycling', 'Food', 'Electricity']",6,15,"['Electricity', 'Commute', 'Diet', 'Recycling', 'Food', 'Vacation']",6,2,"['Food', 'Diet', 'Electricity', 'Vacation', 'Recycling', 'Commute']",5,12,"['Electricity', 'Recycling', 'Diet', 'Vacation', 'Food', 'Commute']",4,3,"['Electricity', 'Vacation', 'Diet', 'Commute', 'Recycling', 'Food']",6,11,"['Commute', 'Food', 'Recycling', 'Vacation', 'Diet', 'Electricity']",5,5,"['Commute', 'Vacation', 'Recycling', 'Electricity', 'Diet', 'Food']",5,14,"['Diet', 'Vacation', 'Electricity', 'Food', 'Recycling', 'Commute']",3,6,"['Food', 'Vacation', 'Commute', 'Diet', 'Electricity', 'Recycling']",2,10,"['Recycling', 'Electricity', 'Food', 'Vacation', 'Diet', 'Commute']",2,0,"['Food', 'Recycling', 'Electricity', 'Diet', 'Commute', 'Vacation']",4,7,"['Food', 'Vacation', 'Diet', 'Commute', 'Recycling', 'Electricity']",-0.22,-0.0575,2.282,0.2726,0,0,0,1.294697,3.6,7,1968,3,4,4,4,5,5,5,5,6,2,2,5,2,6,5,3,3.75,"right-leaning",4.25,5,5,4,3.5,4,4,5.33333333333333,3.16666666666667
"9",9,"bywblyzq","597b652912b52100010ca9b2","end","2023-10-27 15:41:24.105157",23,"Female","Higher education (Bachelor, Master, PhD)","30.501£ to 45.000£",1,1,6,8,"['Commute', 'Food', 'Electricity', 'Diet', 'Recycling', 'Vacation']",6,2,"['Food', 'Diet', 'Vacation', 'Recycling', 'Electricity', 'Commute']",7,7,"['Vacation', 'Commute', 'Diet', 'Food', 'Recycling', 'Electricity']",6,6,"['Commute', 'Vacation', 'Recycling', 'Diet', 'Food', 'Electricity']",8,12,"['Diet', 'Food', 'Commute', 'Vacation', 'Recycling', 'Electricity']",5,4,"['Electricity', 'Food', 'Recycling', 'Commute', 'Vacation', 'Diet']",8,15,"['Recycling', 'Diet', 'Food', 'Electricity', 'Commute', 'Vacation']",8,14,"['Commute', 'Food', 'Diet', 'Vacation', 'Recycling', 'Electricity']",7,5,"['Commute', 'Diet', 'Food', 'Electricity', 'Vacation', 'Recycling']",1,0,"['Vacation', 'Commute', 'Food', 'Recycling', 'Diet', 'Electricity']",6,13,"['Vacation', 'Food', 'Recycling', 'Commute', 'Electricity', 'Diet']",5,3,"['Electricity', 'Vacation', 'Diet', 'Recycling', 'Commute', 'Food']",4,1,"['Commute', 'Diet', 'Recycling', 'Electricity', 'Vacation', 'Food']",6,11,"['Commute', 'Vacation', 'Diet', 'Recycling', 'Electricity', 'Food']",5,10,"['Electricity', 'Recycling', 'Commute', 'Vacation', 'Diet', 'Food']",7,9,"['Commute', 'Vacation', 'Recycling', 'Food', 'Diet', 'Electricity']",-0.33,-0.0575,2.282,0,0.1555,0,0.36,1.294697,3.3,3,2000,6,6,6,6,7,5,5,5,7,4,4,6,6,7,7,5,6,"left-leaning",5.66666666666667,6,5,5.5,5,6.5,6,6.5,4.83333333333333
"10",10,"hj9yyqzo","5c582f95caffa2000175bc72","end","2023-10-27 15:41:43.832622",37,"Female","Further education","< 18.000£",1,1,2,0,"['Recycling', 'Vacation', 'Food', 'Diet', 'Commute', 'Electricity']",6,15,"['Recycling', 'Vacation', 'Electricity', 'Commute', 'Diet', 'Food']",5,9,"['Electricity', 'Vacation', 'Food', 'Diet', 'Commute', 'Recycling']",3,1,"['Electricity', 'Diet', 'Commute', 'Vacation', 'Recycling', 'Food']",5,13,"['Vacation', 'Food', 'Recycling', 'Commute', 'Diet', 'Electricity']",6,14,"['Recycling', 'Commute', 'Food', 'Electricity', 'Vacation', 'Diet']",5,8,"['Electricity', 'Vacation', 'Commute', 'Food', 'Recycling', 'Diet']",4,3,"['Commute', 'Food', 'Electricity', 'Diet', 'Vacation', 'Recycling']",4,10,"['Electricity', 'Vacation', 'Recycling', 'Diet', 'Commute', 'Food']",4,6,"['Recycling', 'Electricity', 'Food', 'Diet', 'Commute', 'Vacation']",3,4,"['Diet', 'Vacation', 'Recycling', 'Electricity', 'Food', 'Commute']",4,2,"['Diet', 'Food', 'Commute', 'Electricity', 'Vacation', 'Recycling']",4,7,"['Food', 'Recycling', 'Commute', 'Electricity', 'Vacation', 'Diet']",6,11,"['Diet', 'Recycling', 'Commute', 'Electricity', 'Food', 'Vacation']",6,5,"['Electricity', 'Diet', 'Food', 'Recycling', 'Vacation', 'Commute']",5,12,"['Recycling', 'Diet', 'Commute', 'Vacation', 'Food', 'Electricity']",0,-0.0575,2.282,1.0872,0.1555,0.0729,2.07,1.294697,6.9,5,1986,4,4,5,5,6,3,4,3,6,2,2,6,2,6,7,3,4.5,"left-leaning",4.16666666666667,4.5,3.5,4,4,4,5,5.83333333333333,2.5
