"","participant.label","type","age","gender","income","education","conservative_liberal","conservative_liberal.binary","cc_concern.mean","total_co2","rating","vignette","diet","flying","electricity","regional","recycling","commute"
"1","54232b4bfdf99b328c91b253","1.",38,"Male","30.501£ to 45.000£","Higher education (Bachelor, Master, PhD)",3,"left-leaning",5,7.4,3,4,"meat-based","takes train (does not fly)","100% renewable energy supply","only regional","does not recycle","takes the bus"
"2","54232b4bfdf99b328c91b253","10",38,"Male","30.501£ to 45.000£","Higher education (Bachelor, Master, PhD)",3,"left-leaning",5,7.4,6,12,"meat-based","flies 2/year","100% renewable energy supply","regional and imported","recycles","takes the bus"
"3","54232b4bfdf99b328c91b253","11",38,"Male","30.501£ to 45.000£","Higher education (Bachelor, Master, PhD)",3,"left-leaning",5,7.4,5,5,"vegetarian","takes train (does not fly)","mixed energy supply","only regional","does not recycle","take the bike"
"4","54232b4bfdf99b328c91b253","12",38,"Male","30.501£ to 45.000£","Higher education (Bachelor, Master, PhD)",3,"left-leaning",5,7.4,4,7,"vegetarian","takes train (does not fly)","mixed energy supply","regional and imported","does not recycle","takes the bus"
"5","54232b4bfdf99b328c91b253","13",38,"Male","30.501£ to 45.000£","Higher education (Bachelor, Master, PhD)",3,"left-leaning",5,7.4,7,13,"vegetarian","flies 2/year","mixed energy supply","regional and imported","recycles","take the bike"
"6","54232b4bfdf99b328c91b253","14",38,"Male","30.501£ to 45.000£","Higher education (Bachelor, Master, PhD)",3,"left-leaning",5,7.4,2,1,"vegetarian","takes train (does not fly)","100% renewable energy supply","only regional","recycles","take the bike"
"7","54232b4bfdf99b328c91b253","15",38,"Male","30.501£ to 45.000£","Higher education (Bachelor, Master, PhD)",3,"left-leaning",5,7.4,3,2,"vegetarian","takes train (does not fly)","100% renewable energy supply","regional and imported","recycles","takes the bus"
"8","54232b4bfdf99b328c91b253","16",38,"Male","30.501£ to 45.000£","Higher education (Bachelor, Master, PhD)",3,"left-leaning",5,7.4,8,16,"meat-based","flies 2/year","mixed energy supply","regional and imported","does not recycle","takes the bus"
"9","54232b4bfdf99b328c91b253","2.",38,"Male","30.501£ to 45.000£","Higher education (Bachelor, Master, PhD)",3,"left-leaning",5,7.4,6,10,"meat-based","flies 2/year","100% renewable energy supply","only regional","does not recycle","take the bike"
"10","54232b4bfdf99b328c91b253","3.",38,"Male","30.501£ to 45.000£","Higher education (Bachelor, Master, PhD)",3,"left-leaning",5,7.4,5,8,"meat-based","takes train (does not fly)","mixed energy supply","regional and imported","recycles","take the bike"
"11","54232b4bfdf99b328c91b253","4.",38,"Male","30.501£ to 45.000£","Higher education (Bachelor, Master, PhD)",3,"left-leaning",5,7.4,6,14,"vegetarian","flies 2/year","mixed energy supply","only regional","recycles","takes the bus"
