"","participant.label","age","gender","income","education","conservative_liberal","conservative_liberal.binary","cc_concern.mean","policy.support.total","policy","support","policy2","type","support.f"
"1","5d8b8137604bb000150db6d9",19,"Male","18.000£ to 23.000£","Compulsory education",6,"right-leaning",3.75,2.5,"expand public transport",3,"expand public transport","subsidy","3"
"2","5d8b8137604bb000150db6d9",19,"Male","18.000£ to 23.000£","Compulsory education",6,"right-leaning",3.75,2.5,"ban diesel&petrol cars",1,"ban diesel&petrol cars","cost","1"
"3","5d8b8137604bb000150db6d9",19,"Male","18.000£ to 23.000£","Compulsory education",6,"right-leaning",3.75,2.5,"subsidies alternative flying",3,"subsidies alternative flying","subsidy","3"
"4","5d8b8137604bb000150db6d9",19,"Male","18.000£ to 23.000£","Compulsory education",6,"right-leaning",3.75,2.5,"taxes air travel",2,"taxes air travel","cost","2"
"5","5d8b8137604bb000150db6d9",19,"Male","18.000£ to 23.000£","Compulsory education",6,"right-leaning",3.75,2.5,"subsidies RE projects",5,"subsidies RE projects","subsidy","5"
"6","5d8b8137604bb000150db6d9",19,"Male","18.000£ to 23.000£","Compulsory education",6,"right-leaning",3.75,2.5,"electricity price peak times",1,"electricity price peak times","cost","1"
"7","5d8b8137604bb000150db6d9",19,"Male","18.000£ to 23.000£","Compulsory education",6,"right-leaning",3.75,2.5,"taxes red meat",1,"taxes red meat","cost","1"
"8","5d8b8137604bb000150db6d9",19,"Male","18.000£ to 23.000£","Compulsory education",6,"right-leaning",3.75,2.5,"subsidies low emission foods",4,"subsidies low emission foods","subsidy","4"
"9","5d8b8137604bb000150db6d9",19,"Male","18.000£ to 23.000£","Compulsory education",6,"right-leaning",3.75,2.5,"taxes non-recylabes",1,"taxes non-recylabes","cost","1"
"10","5d8b8137604bb000150db6d9",19,"Male","18.000£ to 23.000£","Compulsory education",6,"right-leaning",3.75,2.5,"expand recycling",4,"expand recycling","subsidy","4"
"11","5d8b8137604bb000150db6d9",19,"Male","18.000£ to 23.000£","Compulsory education",6,"right-leaning",3.75,2.5,"subsidies regional food",4,"subsidies regional food","subsidy","4"
"12","5d8b8137604bb000150db6d9",19,"Male","18.000£ to 23.000£","Compulsory education",6,"right-leaning",3.75,2.5,"taxes imported food",1,"taxes imported food","cost","1"
"13","5d1bd8a7601cd70001728db6",48,"Female","23.001£ to 30.500£","Further education",4,"left-leaning",4.25,4,"expand public transport",7,"expand public transport","subsidy","7"
"14","5d1bd8a7601cd70001728db6",48,"Female","23.001£ to 30.500£","Further education",4,"left-leaning",4.25,4,"ban diesel&petrol cars",4,"ban diesel&petrol cars","cost","4"
"15","5d1bd8a7601cd70001728db6",48,"Female","23.001£ to 30.500£","Further education",4,"left-leaning",4.25,4,"subsidies alternative flying",4,"subsidies alternative flying","subsidy","4"
"16","5d1bd8a7601cd70001728db6",48,"Female","23.001£ to 30.500£","Further education",4,"left-leaning",4.25,4,"taxes air travel",4,"taxes air travel","cost","4"
"17","5d1bd8a7601cd70001728db6",48,"Female","23.001£ to 30.500£","Further education",4,"left-leaning",4.25,4,"subsidies RE projects",7,"subsidies RE projects","subsidy","7"
"18","5d1bd8a7601cd70001728db6",48,"Female","23.001£ to 30.500£","Further education",4,"left-leaning",4.25,4,"electricity price peak times",1,"electricity price peak times","cost","1"
"19","5d1bd8a7601cd70001728db6",48,"Female","23.001£ to 30.500£","Further education",4,"left-leaning",4.25,4,"taxes red meat",1,"taxes red meat","cost","1"
"20","5d1bd8a7601cd70001728db6",48,"Female","23.001£ to 30.500£","Further education",4,"left-leaning",4.25,4,"subsidies low emission foods",3,"subsidies low emission foods","subsidy","3"
"21","5d1bd8a7601cd70001728db6",48,"Female","23.001£ to 30.500£","Further education",4,"left-leaning",4.25,4,"taxes non-recylabes",5,"taxes non-recylabes","cost","5"
"22","5d1bd8a7601cd70001728db6",48,"Female","23.001£ to 30.500£","Further education",4,"left-leaning",4.25,4,"expand recycling",7,"expand recycling","subsidy","7"
"23","5d1bd8a7601cd70001728db6",48,"Female","23.001£ to 30.500£","Further education",4,"left-leaning",4.25,4,"subsidies regional food",1,"subsidies regional food","subsidy","1"
"24","5d1bd8a7601cd70001728db6",48,"Female","23.001£ to 30.500£","Further education",4,"left-leaning",4.25,4,"taxes imported food",4,"taxes imported food","cost","4"
"25","5ce046f0feca32001bf94033",36,"Female","< 18.000£","Compulsory education",3,"left-leaning",6,4.66666666666667,"expand public transport",7,"expand public transport","subsidy","7"
"26","5ce046f0feca32001bf94033",36,"Female","< 18.000£","Compulsory education",3,"left-leaning",6,4.66666666666667,"ban diesel&petrol cars",5,"ban diesel&petrol cars","cost","5"
"27","5ce046f0feca32001bf94033",36,"Female","< 18.000£","Compulsory education",3,"left-leaning",6,4.66666666666667,"subsidies alternative flying",5,"subsidies alternative flying","subsidy","5"
"28","5ce046f0feca32001bf94033",36,"Female","< 18.000£","Compulsory education",3,"left-leaning",6,4.66666666666667,"taxes air travel",5,"taxes air travel","cost","5"
"29","5ce046f0feca32001bf94033",36,"Female","< 18.000£","Compulsory education",3,"left-leaning",6,4.66666666666667,"subsidies RE projects",6,"subsidies RE projects","subsidy","6"
"30","5ce046f0feca32001bf94033",36,"Female","< 18.000£","Compulsory education",3,"left-leaning",6,4.66666666666667,"electricity price peak times",2,"electricity price peak times","cost","2"
"31","5ce046f0feca32001bf94033",36,"Female","< 18.000£","Compulsory education",3,"left-leaning",6,4.66666666666667,"taxes red meat",3,"taxes red meat","cost","3"
"32","5ce046f0feca32001bf94033",36,"Female","< 18.000£","Compulsory education",3,"left-leaning",6,4.66666666666667,"subsidies low emission foods",3,"subsidies low emission foods","subsidy","3"
"33","5ce046f0feca32001bf94033",36,"Female","< 18.000£","Compulsory education",3,"left-leaning",6,4.66666666666667,"taxes non-recylabes",4,"taxes non-recylabes","cost","4"
"34","5ce046f0feca32001bf94033",36,"Female","< 18.000£","Compulsory education",3,"left-leaning",6,4.66666666666667,"expand recycling",7,"expand recycling","subsidy","7"
"35","5ce046f0feca32001bf94033",36,"Female","< 18.000£","Compulsory education",3,"left-leaning",6,4.66666666666667,"subsidies regional food",5,"subsidies regional food","subsidy","5"
"36","5ce046f0feca32001bf94033",36,"Female","< 18.000£","Compulsory education",3,"left-leaning",6,4.66666666666667,"taxes imported food",4,"taxes imported food","cost","4"
"37","5b4ce12a1fa5830001016869",48,"Male","< 18.000£","Further education",9,"right-leaning",2,2.83333333333333,"expand public transport",5,"expand public transport","subsidy","5"
"38","5b4ce12a1fa5830001016869",48,"Male","< 18.000£","Further education",9,"right-leaning",2,2.83333333333333,"ban diesel&petrol cars",1,"ban diesel&petrol cars","cost","1"
"39","5b4ce12a1fa5830001016869",48,"Male","< 18.000£","Further education",9,"right-leaning",2,2.83333333333333,"subsidies alternative flying",5,"subsidies alternative flying","subsidy","5"
